Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-19 20:4:22	0,00	0,00	1,05	36,70	-35,65	0
2017-4-19 20:4:27	0,00	0,00	1,05	2,04	-0,99	0
2017-4-19 20:4:32	0,00	0,00	1,05	2,08	-1,03	0
2017-4-19 20:4:37	0,00	0,00	1,05	2,00	-0,95	0
2017-4-19 20:4:42	0,00	0,00	1,05	1,87	-0,82	0
2017-4-19 20:4:48	0,00	0,00	1,05	2,04	-0,99	0
2017-4-19 20:4:53	0,00	0,00	1,05	2,08	-1,03	0
2017-4-19 20:4:58	0,00	0,00	1,05	2,04	-0,99	0
2017-4-19 20:5:3	0,00	0,00	1,05	2,04	-0,99	0
2017-4-19 20:5:8	0,00	0,00	1,05	2,08	-1,03	0
2017-4-19 20:5:13	0,00	0,00	1,05	2,00	-0,95	0
2017-4-19 20:5:18	0,00	0,00	1,05	2,04	-0,99	0
2017-4-19 20:5:23	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:5:28	0,00	0,00	1,05	2,08	-1,03	0
2017-4-19 20:5:33	0,00	0,00	1,05	1,91	-0,86	0
2017-4-19 20:5:38	0,00	0,00	1,05	1,91	-0,86	0
2017-4-19 20:5:43	0,00	0,00	1,05	2,04	-0,99	0
2017-4-19 20:5:48	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:5:53	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:5:58	0,00	0,00	1,05	2,00	-0,95	0
2017-4-19 20:6:3	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:6:8	0,00	0,00	1,05	2,00	-0,95	0
2017-4-19 20:6:13	0,00	0,00	1,05	2,00	-0,95	0
2017-4-19 20:6:18	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:6:23	0,00	0,00	1,05	2,00	-0,95	0
2017-4-19 20:6:28	0,00	0,00	1,05	1,91	-0,86	0
2017-4-19 20:6:33	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:6:38	0,00	0,00	1,05	2,00	-0,95	0
2017-4-19 20:6:43	0,00	0,00	1,05	1,91	-0,86	0
2017-4-19 20:6:48	0,00	0,00	1,05	1,91	-0,86	0
2017-4-19 20:6:53	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:6:58	0,00	0,00	1,05	2,04	-0,99	0
2017-4-19 20:7:3	0,00	0,00	1,05	2,08	-1,03	0
2017-4-19 20:7:8	0,00	0,00	1,05	2,08	-1,03	0
2017-4-19 20:7:13	0,00	0,00	1,05	2,08	-1,03	0
2017-4-19 20:7:18	0,00	0,00	1,05	2,08	-1,03	0
2017-4-19 20:7:23	0,00	0,00	1,05	2,08	-1,03	0
2017-4-19 20:7:28	0,00	0,00	1,05	2,21	-1,16	0
2017-4-19 20:7:33	0,00	0,00	1,05	2,04	-0,99	0
2017-4-19 20:7:38	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:7:43	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:7:48	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:7:53	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:7:58	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:8:3	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:8:8	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:8:13	0,00	0,00	1,05	2,00	-0,95	0
2017-4-19 20:8:18	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:8:23	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:8:28	0,00	0,00	1,05	1,95	-0,90	0
2017-4-19 20:8:33	0,00	0,00	1,05	1,95	-0,90	0
