Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-18 13:35:59	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:36:4	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:36:9	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:36:14	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:36:20	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:36:25	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:36:30	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:36:35	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:36:40	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:36:45	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:36:50	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:36:55	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:37:0	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:37:5	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:37:10	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:37:15	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:37:20	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:37:25	0,00	0,00	1,05	8,38	-7,33	0
2017-4-18 13:37:30	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:37:35	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:37:40	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:37:45	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:37:50	0,00	0,00	1,05	8,24	-7,19	0
2017-4-18 13:37:55	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:38:0	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:38:5	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:38:10	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:38:15	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:38:20	0,00	0,00	1,05	8,23	-7,18	0
2017-4-18 13:38:25	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:38:30	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:38:35	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:38:40	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:38:45	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:38:50	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:38:55	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:39:0	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:39:5	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:39:10	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:39:15	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:39:20	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:39:25	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:39:30	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:39:35	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:39:40	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:39:45	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:39:50	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:39:55	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:40:0	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:40:5	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:40:10	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:40:15	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:40:20	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:40:25	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:40:30	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:40:35	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:40:40	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:40:45	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:40:50	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:40:55	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:41:0	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:41:5	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:41:10	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:41:15	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:41:20	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:41:25	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:41:30	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:41:35	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:41:40	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:41:45	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:41:50	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:41:55	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:42:0	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:42:5	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:42:10	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:42:15	0,00	0,00	1,05	8,26	-7,21	0
2017-4-18 13:42:20	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:42:25	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:42:30	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:42:35	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:42:40	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:42:45	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:42:50	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:42:55	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:43:0	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:43:5	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:43:10	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:43:15	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:43:20	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:43:25	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:43:30	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:43:35	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:43:40	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:43:45	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:43:50	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:43:55	0,00	0,00	1,05	8,38	-7,33	0
2017-4-18 13:44:0	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:44:5	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:44:10	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:44:15	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:44:20	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:44:25	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:44:30	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:44:35	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:44:40	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:44:45	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:44:50	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:44:55	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:45:0	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:45:5	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:45:10	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:45:15	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:45:20	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:45:25	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:45:30	0,00	0,00	1,05	8,39	-7,34	0
2017-4-18 13:45:35	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:45:40	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:45:45	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:45:50	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:45:55	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:46:0	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:46:5	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:46:10	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:46:15	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:46:20	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:46:25	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:46:30	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:46:35	0,00	0,00	1,05	8,38	-7,33	0
2017-4-18 13:46:40	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:46:45	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:46:50	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:46:55	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:47:0	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:47:5	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:47:10	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:47:15	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:47:21	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:47:26	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:47:31	0,00	0,00	1,05	8,28	-7,23	0
