Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-19 24:10:41	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:10:46	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:10:51	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:10:56	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:11:1	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:11:6	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:11:11	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:11:16	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:11:21	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:11:26	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:11:31	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:11:36	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:11:41	0.00	0.00	1.05	1.82	-0.77	0
2017-4-19 24:11:46	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:11:51	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:11:56	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:12:1	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:12:6	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:12:11	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:12:16	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:12:21	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:12:26	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:12:31	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:12:36	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:12:41	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:12:46	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:12:51	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:12:56	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:13:1	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:13:6	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:13:11	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:13:16	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:13:21	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:13:26	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:13:31	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:13:36	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:13:41	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:13:46	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:13:51	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:13:56	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:14:1	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:14:6	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:14:11	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:14:16	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:14:21	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:14:26	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:14:31	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:14:36	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:14:41	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:14:46	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:14:51	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:14:56	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:15:1	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:15:6	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:15:11	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:15:16	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:15:21	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:15:26	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:15:31	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:15:36	0.00	0.00	1.05	1.87	-0.82	0
