Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-19 16:4:12	0,00	0,00	1,05	0,07	0,98	1
2017-4-19 16:4:17	0,00	0,00	1,05	4,13	-3,08	0
2017-4-19 16:4:22	0,00	0,00	1,05	4,12	-3,07	0
2017-4-19 16:4:27	0,00	0,00	1,05	4,11	-3,06	0
2017-4-19 16:4:32	0,00	0,00	1,05	4,13	-3,08	0
2017-4-19 16:4:37	0,00	0,00	1,05	4,11	-3,06	0
2017-4-19 16:4:42	0,00	0,00	1,05	4,05	-3,00	0
2017-4-19 16:4:47	0,00	0,00	1,05	4,09	-3,04	0
2017-4-19 16:4:52	0,00	0,00	1,05	4,09	-3,04	0
2017-4-19 16:4:57	0,00	0,00	1,05	4,17	-3,12	0
2017-4-19 16:5:2	0,00	0,00	1,05	4,10	-3,05	0
2017-4-19 16:5:7	0,00	0,00	1,05	4,10	-3,05	0
2017-4-19 16:5:12	0,00	0,00	1,05	4,14	-3,09	0
2017-4-19 16:5:17	0,00	0,00	1,05	4,13	-3,08	0
2017-4-19 16:5:22	0,00	0,00	1,05	4,15	-3,10	0
2017-4-19 16:5:27	0,00	0,00	1,05	4,13	-3,08	0
2017-4-19 16:5:32	0,00	0,00	1,05	4,11	-3,06	0
2017-4-19 16:5:37	0,00	0,00	1,05	4,13	-3,08	0
2017-4-19 16:5:42	0,00	0,00	1,05	4,09	-3,04	0
2017-4-19 16:5:47	0,00	0,00	1,05	4,11	-3,06	0
2017-4-19 16:5:52	0,00	0,00	1,05	4,09	-3,04	0
2017-4-19 16:5:57	0,00	0,00	1,05	4,13	-3,08	0
2017-4-19 16:6:2	0,00	0,00	1,05	4,15	-3,10	0
2017-4-19 16:6:7	0,00	0,00	1,05	4,08	-3,03	0
2017-4-19 16:6:12	0,00	0,00	1,05	4,16	-3,11	0
2017-4-19 16:6:17	0,00	0,00	1,05	4,08	-3,03	0
2017-4-19 16:6:22	0,00	0,00	1,05	4,04	-2,99	0
2017-4-19 16:6:27	0,00	0,00	1,05	4,15	-3,10	0
2017-4-19 16:6:32	0,00	0,00	1,05	4,15	-3,10	0
2017-4-19 16:6:37	0,00	0,00	1,05	4,15	-3,10	0
2017-4-19 16:6:42	0,00	0,00	1,05	4,14	-3,09	0
2017-4-19 16:6:47	0,00	0,00	1,05	4,10	-3,05	0
2017-4-19 16:6:52	0,00	0,00	1,05	4,11	-3,06	0
2017-4-19 16:6:57	0,00	0,00	1,05	4,08	-3,03	0
2017-4-19 16:7:2	0,00	0,00	1,05	4,09	-3,04	0
2017-4-19 16:7:7	0,00	0,00	1,05	4,07	-3,02	0
2017-4-19 16:7:12	0,00	0,00	1,05	4,16	-3,11	0
2017-4-19 16:7:17	0,00	0,00	1,05	4,19	-3,14	0
2017-4-19 16:7:22	0,00	0,00	1,05	4,17	-3,12	0
2017-4-19 16:7:27	0,00	0,00	1,05	4,07	-3,02	0
2017-4-19 16:7:32	0,00	0,00	1,05	4,17	-3,12	0
2017-4-19 16:7:37	0,00	0,00	1,05	4,09	-3,04	0
2017-4-19 16:7:42	0,00	0,00	1,05	4,09	-3,04	0
2017-4-19 16:7:47	0,00	0,00	1,05	4,19	-3,14	0
2017-4-19 16:7:52	0,00	0,00	1,05	4,09	-3,04	0
2017-4-19 16:7:57	0,00	0,00	1,05	4,09	-3,04	0
2017-4-19 16:8:2	0,00	0,00	1,05	4,27	-3,22	0
2017-4-19 16:8:7	0,00	0,00	1,05	4,11	-3,06	0
2017-4-19 16:8:12	0,00	0,00	1,05	4,17	-3,12	0
2017-4-19 16:8:17	0,00	0,00	1,05	4,17	-3,12	0
2017-4-19 16:8:22	0,00	0,00	1,05	4,10	-3,05	0
