Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-19 8:4:19	0.00	0.00	1.05	0.07	0.98	1
2017-4-19 8:4:24	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:4:29	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 8:4:34	0.00	0.00	1.05	4.10	-3.05	0
2017-4-19 8:4:39	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:4:44	0.00	0.00	1.05	4.08	-3.03	0
2017-4-19 8:4:49	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:4:54	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:4:59	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:5:4	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:5:9	0.00	0.00	1.05	4.08	-3.03	0
2017-4-19 8:5:14	0.00	0.00	1.05	4.14	-3.09	0
2017-4-19 8:5:19	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 8:5:24	0.00	0.00	1.05	4.06	-3.01	0
2017-4-19 8:5:29	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 8:5:34	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 8:5:39	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:5:44	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 8:5:49	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 8:5:54	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:5:59	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:6:4	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 8:6:9	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:6:14	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:6:19	0.00	0.00	1.05	4.08	-3.03	0
2017-4-19 8:6:24	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:6:29	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:6:34	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:6:39	0.00	0.00	1.05	4.14	-3.09	0
2017-4-19 8:6:44	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:6:49	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:6:54	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 8:6:59	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:7:4	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:7:9	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 8:7:14	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:7:19	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 8:7:24	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 8:7:29	0.00	0.00	1.05	4.10	-3.05	0
2017-4-19 8:7:34	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 8:7:39	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 8:7:44	0.00	0.00	1.05	4.10	-3.05	0
2017-4-19 8:7:49	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 8:7:54	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:7:59	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:8:4	0.00	0.00	1.05	4.14	-3.09	0
2017-4-19 8:8:9	0.00	0.00	1.05	4.02	-2.97	0
2017-4-19 8:8:14	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 8:8:19	0.00	0.00	1.05	4.10	-3.05	0
2017-4-19 8:8:24	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:8:29	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:8:34	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:8:39	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 8:8:44	0.00	0.00	1.05	4.10	-3.05	0
2017-4-19 8:8:49	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 8:8:54	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:8:59	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:9:4	0.00	0.00	1.05	4.10	-3.05	0
2017-4-19 8:9:9	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 8:9:14	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:9:19	0.00	0.00	1.05	4.06	-3.01	0
2017-4-19 8:9:24	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 8:9:29	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 8:9:34	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 8:9:39	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:9:44	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:9:49	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 8:9:54	0.00	0.00	1.05	4.18	-3.13	0
2017-4-19 8:9:59	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 8:10:4	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 8:10:9	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:10:14	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:10:19	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 8:10:24	0.00	0.00	1.05	4.19	-3.14	0
2017-4-19 8:10:29	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 8:10:34	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:10:39	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:10:44	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 8:10:49	0.00	0.00	1.05	4.14	-3.09	0
2017-4-19 8:10:54	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 8:10:59	0.00	0.00	1.05	4.06	-3.01	0
2017-4-19 8:11:4	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 8:11:9	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 8:11:14	0.00	0.00	1.05	4.04	-2.99	0
2017-4-19 8:11:19	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 8:11:24	0.00	0.00	1.05	4.06	-3.01	0
2017-4-19 8:11:29	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 8:11:34	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 8:11:39	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 8:11:44	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 8:11:49	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 8:11:54	0.00	0.00	1.05	4.19	-3.14	0
2017-4-19 8:11:59	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 8:12:4	0.00	0.00	1.05	4.02	-2.97	0
2017-4-19 8:12:9	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 8:12:14	0.00	0.00	1.05	4.06	-3.01	0
2017-4-19 8:12:19	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 8:12:24	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 8:12:29	0.00	0.00	1.05	4.08	-3.03	0
2017-4-19 8:12:34	0.00	0.00	1.05	4.05	-3.00	0
2017-4-19 8:12:39	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:12:44	0.00	0.00	1.05	4.10	-3.05	0
2017-4-19 8:12:49	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:12:54	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:12:59	0.00	0.00	1.05	4.08	-3.03	0
2017-4-19 8:13:4	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:13:9	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:13:14	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 8:13:20	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:13:25	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:13:30	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 8:13:35	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 8:13:40	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 8:13:45	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 8:13:50	0.00	0.00	1.05	4.14	-3.09	0
2017-4-19 8:13:55	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 8:14:0	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 8:14:5	0.00	0.00	1.05	4.18	-3.13	0
2017-4-19 8:14:10	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 8:14:15	0.00	0.00	1.05	4.18	-3.13	0
