Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-20 8:4:16	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:4:21	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:4:26	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:4:31	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:4:36	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:4:41	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:4:46	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:4:51	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:4:56	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:5:1	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:5:6	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:5:11	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:5:16	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:5:21	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:5:26	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:5:31	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:5:36	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:5:41	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:5:46	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:5:51	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:5:56	0.00	0.00	1.05	1.78	-0.73	0
2017-4-20 8:6:1	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:6:6	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:6:11	0.00	0.00	1.05	2.13	-1.08	0
2017-4-20 8:6:16	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:6:21	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:6:26	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:6:31	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:6:36	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:6:41	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:6:46	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:6:51	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:6:56	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:7:1	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:7:6	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:7:11	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:7:16	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:7:21	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:7:26	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:7:31	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:7:36	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:7:41	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:7:46	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:7:51	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:7:56	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:8:1	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:8:6	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:8:11	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:8:16	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:8:21	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:8:26	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:8:31	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:8:36	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:8:41	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:8:46	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:8:51	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:8:56	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:9:1	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:9:6	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:9:11	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:9:16	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:9:21	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:9:26	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:9:31	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:9:36	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:9:41	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:9:46	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:9:51	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:9:56	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:10:1	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:10:6	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:10:11	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:10:16	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:10:22	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:10:27	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:10:32	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:10:37	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:10:42	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:10:47	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:10:52	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:10:57	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:11:2	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:11:7	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:11:12	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:11:17	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:11:22	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:11:27	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:11:32	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:11:37	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:11:42	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:11:47	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:11:52	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:11:57	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:12:2	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:12:7	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:12:12	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:12:17	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:12:22	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:12:27	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:12:32	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:12:37	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:12:42	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:12:47	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:12:52	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:12:57	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:13:2	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:13:7	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:13:12	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:13:17	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:13:22	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:13:27	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:13:32	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:13:37	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:13:42	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:13:47	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:13:52	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:13:57	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:14:2	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:14:7	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:14:12	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:14:17	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:14:22	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:14:27	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:14:32	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:14:37	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:14:42	0.00	0.00	1.05	1.74	-0.69	0
2017-4-20 8:14:47	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:14:52	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:14:57	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:15:2	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:15:7	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:15:12	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:15:17	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:15:22	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:15:27	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:15:32	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:15:37	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:15:42	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:15:47	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:15:52	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:15:57	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:16:2	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:16:7	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:16:12	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:16:17	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:16:22	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:16:27	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:16:32	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:16:37	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:16:42	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:16:47	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:16:52	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:16:57	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:17:2	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:17:7	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:17:12	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:17:17	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:17:22	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:17:27	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:17:32	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:17:37	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:17:42	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:17:47	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:17:52	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:17:57	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:18:2	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:18:7	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:18:12	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:18:17	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:18:22	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:18:27	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:18:32	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:18:37	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:18:42	0.00	0.00	1.05	2.13	-1.08	0
2017-4-20 8:18:47	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:18:52	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:18:57	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:19:2	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:19:7	0.00	0.00	1.05	2.13	-1.08	0
2017-4-20 8:19:12	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:19:17	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:19:22	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:19:27	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:19:32	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:19:37	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:19:42	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:19:47	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:19:52	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:19:57	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:20:2	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:20:7	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:20:12	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:20:17	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:20:22	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:20:27	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:20:32	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:20:37	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:20:42	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:20:47	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:20:52	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:20:57	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:21:2	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:21:7	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:21:12	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:21:17	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:21:22	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:21:27	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:21:33	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:21:38	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:21:43	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:21:48	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:21:53	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:21:58	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:22:3	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:22:8	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:22:13	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:22:18	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:22:23	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:22:28	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:22:33	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:22:38	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:22:43	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:22:48	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:22:53	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:22:58	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:23:3	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:23:8	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:23:13	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:23:18	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:23:23	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:23:28	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:23:33	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:23:38	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:23:43	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:23:48	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:23:53	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:23:58	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:24:3	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:24:8	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:24:13	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:24:18	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:24:23	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:24:28	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:24:33	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:24:38	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:24:43	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:24:48	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:24:53	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:24:58	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:25:3	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:25:8	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:25:13	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:25:18	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:25:23	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:25:28	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:25:33	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:25:38	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:25:43	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:25:48	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:25:53	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:25:58	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:26:3	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:26:8	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:26:13	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:26:18	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:26:23	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:26:28	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:26:33	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:26:38	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:26:43	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:26:48	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:26:53	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:26:58	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:27:3	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:27:8	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:27:13	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:27:18	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:27:23	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:27:28	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:27:33	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:27:38	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:27:43	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:27:48	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:27:53	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:27:58	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:28:3	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:28:8	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:28:13	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:28:18	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:28:23	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:28:28	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:28:33	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:28:38	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:28:43	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:28:48	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 8:28:53	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:28:58	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 8:29:3	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:29:8	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:29:13	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 8:29:18	0.00	0.00	1.05	1.82	-0.77	0
2017-4-20 8:29:23	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 8:29:28	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:29:33	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:29:38	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:29:43	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 8:29:48	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 8:29:53	0.00	0.00	1.05	2.08	-1.03	0
