Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 8:11:32	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:11:37	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:11:42	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 8:11:47	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:11:52	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:11:57	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:12:2	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:12:7	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 8:12:12	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 8:12:17	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:12:22	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:12:27	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 8:12:32	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:12:37	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:12:42	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:12:47	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:12:52	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 8:12:57	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:13:2	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:13:7	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:13:12	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:13:17	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:13:22	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:13:27	0.00	0.00	1.05	8.15	-7.10	0
2017-4-17 8:13:32	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 8:13:37	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:13:42	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 8:13:47	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:13:52	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:13:57	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:14:2	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:14:7	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:14:12	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:14:17	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:14:22	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:14:27	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 8:14:32	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:14:37	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 8:14:42	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 8:14:47	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 8:14:52	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 8:14:57	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:15:2	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:15:7	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:15:12	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:15:17	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 8:15:22	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:15:27	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:15:32	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:15:37	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:15:42	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:15:47	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:15:52	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:15:57	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:16:2	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:16:7	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:16:12	0.00	0.00	1.05	7.96	-6.91	0
2017-4-17 8:16:17	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 8:16:22	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:16:27	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 8:16:32	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:16:37	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:16:43	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:16:48	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:16:53	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:16:58	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 8:17:3	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:17:8	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 8:17:13	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:17:18	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:17:23	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:17:28	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:17:33	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:17:38	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:17:43	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:17:48	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:17:53	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:17:58	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:18:3	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:18:8	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:18:13	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:18:18	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:18:23	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 8:18:28	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:18:33	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:18:38	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:18:43	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:18:48	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:18:53	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 8:18:58	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:19:3	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:19:8	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:19:13	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:19:18	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:19:23	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:19:28	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:19:33	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:19:38	0.00	0.00	1.05	8.06	-7.01	0
