Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-21 2:4:11	0.00	0.00	1.05	36.70	-35.65	0
2017-4-21 2:4:16	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:4:21	0.00	0.00	1.05	1.82	-0.77	0
2017-4-21 2:4:26	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:4:31	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:4:36	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:4:41	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:4:46	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:4:51	0.00	0.00	1.05	1.82	-0.77	0
2017-4-21 2:4:56	0.00	0.00	1.05	2.04	-0.99	0
2017-4-21 2:5:1	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:5:6	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:5:11	0.00	0.00	1.05	2.04	-0.99	0
2017-4-21 2:5:16	0.00	0.00	1.05	1.78	-0.73	0
2017-4-21 2:5:21	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:5:27	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:5:32	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:5:37	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:5:42	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:5:47	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:5:52	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:5:57	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:6:2	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:6:7	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:6:12	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:6:17	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:6:22	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:6:27	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:6:32	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:6:37	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:6:42	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:6:47	0.00	0.00	1.05	2.04	-0.99	0
2017-4-21 2:6:52	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:6:57	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:7:2	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:7:7	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:7:12	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:7:17	0.00	0.00	1.05	2.04	-0.99	0
2017-4-21 2:7:22	0.00	0.00	1.05	2.04	-0.99	0
2017-4-21 2:7:27	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:7:32	0.00	0.00	1.05	2.04	-0.99	0
2017-4-21 2:7:37	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:7:42	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:7:47	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:7:52	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:7:57	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:8:2	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:8:7	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:8:12	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:8:17	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:8:22	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:8:27	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:8:32	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:8:37	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:8:42	0.00	0.00	1.05	2.04	-0.99	0
2017-4-21 2:8:47	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:8:52	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:8:57	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:9:2	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:9:7	0.00	0.00	1.05	2.13	-1.08	0
2017-4-21 2:9:12	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:9:17	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:9:22	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:9:27	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:9:32	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:9:37	0.00	0.00	1.05	2.00	-0.95	0
2017-4-21 2:9:42	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:9:47	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:9:52	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:9:57	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:10:2	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:10:7	0.00	0.00	1.05	1.95	-0.90	0
2017-4-21 2:10:12	0.00	0.00	1.05	1.87	-0.82	0
2017-4-21 2:10:17	0.00	0.00	1.05	2.04	-0.99	0
2017-4-21 2:10:22	0.00	0.00	1.05	2.04	-0.99	0
2017-4-21 2:10:27	0.00	0.00	1.05	2.04	-0.99	0
2017-4-21 2:10:32	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:10:37	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:10:42	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:10:47	0.00	0.00	1.05	2.08	-1.03	0
2017-4-21 2:10:52	0.00	0.00	1.05	1.91	-0.86	0
2017-4-21 2:10:57	0.00	0.00	1.05	2.08	-1.03	0
