Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-20 4:4:22	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 4:4:27	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:4:32	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:4:37	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:4:42	0.00	0.00	1.05	2.21	-1.16	0
2017-4-20 4:4:47	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:4:52	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:4:57	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:5:2	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:5:7	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:5:12	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:5:17	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:5:22	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:5:27	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:5:32	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:5:38	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:5:43	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:5:48	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 4:5:53	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:5:58	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 4:6:3	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:6:8	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:6:13	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:6:18	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:6:23	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:6:28	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:6:33	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:6:38	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:6:43	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:6:48	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:6:53	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:6:58	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:7:3	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 4:7:8	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:7:13	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:7:18	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:7:23	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:7:28	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:7:33	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:7:38	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:7:43	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:7:48	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:7:53	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:7:58	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:8:3	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:8:8	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:8:13	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 4:8:18	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:8:23	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 4:8:28	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:8:33	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:8:38	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:8:43	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:8:48	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:8:53	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:8:58	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:9:3	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:9:8	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:9:13	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:9:18	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:9:23	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:9:28	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:9:33	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:9:38	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:9:43	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:9:48	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:9:53	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:9:58	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:10:3	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:10:8	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:10:13	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:10:18	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:10:23	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:10:28	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:10:33	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:10:38	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:10:43	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:10:48	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:10:53	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:10:58	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:11:3	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:11:8	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 4:11:13	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:11:18	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:11:23	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:11:28	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:11:33	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:11:38	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:11:43	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:11:48	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:11:53	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:11:58	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:12:3	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:12:8	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:12:13	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:12:18	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:12:23	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:12:28	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:12:33	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:12:38	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:12:43	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 4:12:48	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:12:53	0.00	0.00	1.05	1.74	-0.69	0
2017-4-20 4:12:58	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:13:3	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:13:8	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:13:13	0.00	0.00	1.05	1.87	-0.82	0
2017-4-20 4:13:18	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:13:23	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:13:28	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:13:33	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:13:38	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:13:43	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:13:48	0.00	0.00	1.05	1.95	-0.90	0
2017-4-20 4:13:53	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:13:58	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:14:3	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:14:8	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:14:13	0.00	0.00	1.05	2.08	-1.03	0
2017-4-20 4:14:18	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:14:23	0.00	0.00	1.05	2.04	-0.99	0
2017-4-20 4:14:28	0.00	0.00	1.05	1.91	-0.86	0
2017-4-20 4:14:33	0.00	0.00	1.05	2.00	-0.95	0
2017-4-20 4:14:38	0.00	0.00	1.05	2.04	-0.99	0
