Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-20 12:4:19	0,00	0,00	1,05	36,70	-35,65	0
2017-4-20 12:4:24	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:4:29	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:4:34	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:4:39	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:4:44	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:4:49	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:4:54	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:4:59	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:5:4	0,00	0,00	1,05	2,08	-1,03	0
2017-4-20 12:5:9	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:5:14	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:5:19	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:5:24	0,00	0,00	1,05	2,00	-0,95	0
2017-4-20 12:5:29	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:5:34	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:5:39	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:5:44	0,00	0,00	1,05	2,00	-0,95	0
2017-4-20 12:5:49	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:5:54	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:5:59	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:6:4	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:6:9	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:6:14	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:6:19	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:6:24	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:6:29	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:6:34	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:6:39	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:6:44	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:6:49	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:6:54	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:6:59	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:7:4	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:7:9	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:7:14	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:7:19	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:7:24	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:7:29	0,00	0,00	1,05	2,08	-1,03	0
2017-4-20 12:7:34	0,00	0,00	1,05	1,74	-0,69	0
2017-4-20 12:7:39	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:7:44	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:7:49	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:7:54	0,00	0,00	1,05	2,08	-1,03	0
2017-4-20 12:7:59	0,00	0,00	1,05	2,00	-0,95	0
2017-4-20 12:8:4	0,00	0,00	1,05	2,00	-0,95	0
2017-4-20 12:8:9	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:8:14	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:8:19	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:8:24	0,00	0,00	1,05	2,00	-0,95	0
2017-4-20 12:8:29	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:8:34	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:8:39	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:8:44	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:8:49	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:8:54	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:8:59	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:9:4	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:9:9	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:9:14	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:9:19	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:9:24	0,00	0,00	1,05	2,08	-1,03	0
2017-4-20 12:9:29	0,00	0,00	1,05	2,08	-1,03	0
2017-4-20 12:9:34	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:9:39	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:9:44	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:9:49	0,00	0,00	1,05	2,00	-0,95	0
2017-4-20 12:9:54	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:9:59	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:10:4	0,00	0,00	1,05	2,04	-0,99	0
2017-4-20 12:10:9	0,00	0,00	1,05	1,87	-0,82	0
2017-4-20 12:10:14	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:10:19	0,00	0,00	1,05	2,08	-1,03	0
2017-4-20 12:10:24	0,00	0,00	1,05	1,91	-0,86	0
2017-4-20 12:10:29	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:10:35	0,00	0,00	1,05	2,08	-1,03	0
2017-4-20 12:10:40	0,00	0,00	1,05	1,95	-0,90	0
2017-4-20 12:10:45	0,00	0,00	1,05	2,00	-0,95	0
2017-4-20 12:10:50	0,00	0,00	1,05	2,00	-0,95	0
2017-4-20 12:10:55	0,00	0,00	1,05	1,95	-0,90	0
