Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-21 10:27:6	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:27:11	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:27:16	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:27:21	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:27:26	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:27:31	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:27:36	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:27:41	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:27:46	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:27:51	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:27:56	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:28:1	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:28:6	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:28:11	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:28:16	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:28:21	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:28:26	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:28:31	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:28:36	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:28:41	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:28:46	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:28:51	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:28:56	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:29:1	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:29:6	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:29:11	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:29:16	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:29:21	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:29:26	0,00	0,00	1,05	2,17	-1,12	0
2017-4-21 10:29:31	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:29:36	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:29:41	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:29:46	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:29:51	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:29:56	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:30:1	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:30:6	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:30:11	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:30:16	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:30:21	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:30:26	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:30:31	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:30:36	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:30:41	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:30:46	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:30:51	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:30:56	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:31:1	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:31:6	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:31:11	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:31:16	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:31:21	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:31:26	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:31:31	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:31:36	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:31:41	0,00	0,00	1,05	1,78	-0,73	0
2017-4-21 10:31:46	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:31:51	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:31:56	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:32:1	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:32:6	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:32:11	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:32:16	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:32:21	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:32:26	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:32:31	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:32:36	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:32:41	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:32:46	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:32:51	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:32:56	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:33:1	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:33:6	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:33:11	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:33:16	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:33:21	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:33:26	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:33:31	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:33:36	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:33:41	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:33:46	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:33:51	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:33:56	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:34:1	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:34:6	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:34:11	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:34:16	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:34:22	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:34:27	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:34:32	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:34:37	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:34:42	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:34:47	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:34:52	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:34:57	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:35:2	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:35:7	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:35:12	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:35:17	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:35:22	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:35:27	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:35:32	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:35:37	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:35:42	0,00	0,00	1,05	1,82	-0,77	0
2017-4-21 10:35:47	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:35:52	0,00	0,00	1,05	2,04	-0,99	0
